City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Laguna,US,59.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
380,Snyder,US,52.09,clear sky,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
382,Harper,LR,78.04,overcast clouds,4.375,-7.7169,Screensaver
384,Cabinda,AO,76.41,overcast clouds,-5.55,12.2,Hotel Maiombe
386,Centerville,US,50.07,clear sky,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
387,Itamaraju,BR,70.34,scattered clouds,-17.0392,-39.5311,Hotel Vista Bela
388,Teguise,ES,57.42,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
391,Tateyama,JP,62.17,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
392,Sinnai,IT,57.34,broken clouds,39.3042,9.2036,La Rosa Dei Venti Sardinya
396,Doha,QA,78.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
397,Hasaki,JP,66.6,scattered clouds,35.7333,140.8333,Inubosaki Kanko Hotel
398,Xining,CN,56.34,scattered clouds,36.6167,101.7667,Super Leisure Hotel
400,Hurghada,EG,55.42,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
402,Porto Belo,BR,73.26,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
403,Port Antonio,JM,78.71,clear sky,18.18,-76.4612,The Trident Hotel
405,Paragominas,BR,70.83,overcast clouds,-2.9667,-47.4833,INOVA
406,Jumla,NP,69.51,clear sky,29.2747,82.1838,Royal Garden Hotel
408,Sarahan,IN,67.8,clear sky,31.5167,77.8,OYO 39328 Bushahr Heights
413,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
414,Ziarat,PK,66.97,clear sky,30.3823,67.7282,Pakiza Guest House
418,Jonesboro,US,56.97,broken clouds,35.8423,-90.7043,Hilton Garden Inn Jonesboro
419,Waipawa,NZ,54.21,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
423,Guiren,CN,79.18,broken clouds,33.6697,118.1889,Suyuan Hotel
427,Atar,MR,57.56,clear sky,20.5169,-13.0499,Oumou Elghoura
429,Mabaruma,GY,70.97,broken clouds,8.2,-59.7833,Monty Brooms Guest House
430,Campos Novos,BR,59.61,overcast clouds,-27.4017,-51.225,Hotel Corujão - Campos Novos
