City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Pacific Grove,US,2022-03-09 09:02:10,36.6177,-121.9166,10.37,85,0,0.89
189,Amberley,US,2022-03-09 09:02:10,39.2048,-84.428,3.39,77,100,0.89
190,Clyde River,CA,2022-03-09 09:02:11,70.4692,-68.5914,-21.87,77,100,7.72
191,Sitka,US,2022-03-09 09:02:11,57.0531,-135.33,-2.23,64,53,2.33
192,Airai,TL,2022-03-09 09:02:12,-8.9266,125.4092,17.87,96,100,0.68
193,Lavrentiya,RU,2022-03-09 09:02:12,65.5833,-171.0,-14.25,84,16,3.29
194,Reconquista,AR,2022-03-09 09:02:12,-29.15,-59.65,20.81,95,29,1.84
195,Yarada,IN,2022-03-09 09:02:13,17.65,83.2667,31.18,55,20,5.14
196,Padang,ID,2022-03-09 09:02:14,-0.9492,100.3543,29.37,73,98,2.76
197,Huilong,CN,2022-03-09 09:02:14,31.8111,121.655,12.26,70,0,6.18
198,Severo-Kurilsk,RU,2022-03-09 09:02:14,50.6789,156.125,-1.51,93,100,9.13
199,Klyuchi,RU,2022-03-09 09:02:15,52.2667,79.1667,-8.51,85,90,3.0
200,Xining,CN,2022-03-09 09:00:56,36.6167,101.7667,13.88,23,54,0.84
201,Hobart,AU,2022-03-09 09:00:14,-42.8794,147.3294,14.92,69,20,0.45
202,Luganville,VU,2022-03-09 09:02:16,-15.5333,167.1667,27.03,84,50,0.52
203,Beringovskiy,RU,2022-03-09 09:02:16,63.05,179.3167,-14.43,99,73,3.72
204,Guerrero Negro,MX,2022-03-09 09:02:16,27.9769,-114.0611,14.24,57,0,5.76
205,Sloboda,RU,2022-03-09 09:02:17,51.1421,40.3021,-4.61,91,100,5.04
206,Huarmey,PE,2022-03-09 09:02:17,-10.0681,-78.1522,22.66,81,100,2.42
207,Wynyard,AU,2022-03-09 09:02:18,-41.0,145.7167,15.04,71,10,1.6
208,Bonavista,CA,2022-03-09 09:02:18,48.6499,-53.1147,-1.05,87,100,19.15
209,Poum,NC,2022-03-09 09:02:19,-20.2333,164.0167,27.96,72,17,2.75
210,Manoel Urbano,BR,2022-03-09 09:02:19,-8.8389,-69.2597,21.29,99,84,0.39
211,Kropotkin,RU,2022-03-09 09:02:19,45.4375,40.5756,2.55,66,100,2.02
212,Stephenville,US,2022-03-09 09:01:49,32.2207,-98.2023,0.19,90,0,0.45
213,Ormara,PK,2022-03-09 09:02:15,25.2088,64.6357,25.02,56,5,6.05
214,Laramie,US,2022-03-09 08:59:16,41.3114,-105.5911,-6.79,76,100,0.89
215,Port Elizabeth,ZA,2022-03-09 08:57:47,-33.918,25.5701,28.94,68,0,7.2
216,Bac Lieu,VN,2022-03-09 09:02:21,9.285,105.7244,27.84,65,100,6.66
217,Bathsheba,BB,2022-03-09 09:02:21,13.2167,-59.5167,25.04,73,100,8.05
218,Salinopolis,BR,2022-03-09 09:02:22,-0.6136,-47.3561,25.32,87,100,4.28
219,Vanimo,PG,2022-03-09 09:02:22,-2.6741,141.3028,26.38,84,77,2.0
220,Manga,BF,2022-03-09 09:02:22,11.6636,-1.0731,30.28,6,29,5.96
221,Bethel,US,2022-03-09 09:02:23,41.3712,-73.414,2.78,69,100,1.23
222,Hamilton,US,2022-03-09 09:02:19,39.1834,-84.5333,3.78,77,100,0.45
223,Nicoya,CR,2022-03-09 09:00:38,10.1483,-85.452,22.42,81,6,0.73
224,Vardo,NO,2022-03-09 09:02:24,70.3705,31.1107,-1.89,74,0,7.72
225,Hambantota,LK,2022-03-09 09:02:24,6.1241,81.1185,35.19,49,20,3.6
226,Goundam,ML,2022-03-09 09:02:25,16.4145,-3.6708,23.54,9,95,6.54
227,Puruaran,MX,2022-03-09 09:02:25,19.1,-101.5333,16.8,30,0,2.1
228,Mata,PT,2022-03-09 09:02:26,40.683,-7.4592,11.63,93,100,2.28
229,Vila Velha,BR,2022-03-09 09:02:26,-20.3297,-40.2925,23.26,87,7,1.88
230,Sidney,AU,2022-03-09 09:00:34,-33.8679,151.2073,20.75,75,40,11.32
231,Kardymovo,RU,2022-03-09 09:02:27,54.8902,32.4311,-7.02,76,89,4.62
232,Kirakira,SB,2022-03-09 09:02:27,-10.4544,161.9205,27.2,80,98,1.61
233,Awbari,LY,2022-03-09 09:02:28,26.5921,12.7805,15.45,52,1,3.73
234,Hohhot,CN,2022-03-09 08:59:22,40.8106,111.6522,16.16,20,0,6.0
235,Sibolga,ID,2022-03-09 09:02:28,1.7427,98.7792,29.31,71,56,2.29
236,Jiwani,PK,2022-03-09 09:02:29,25.05,61.7417,24.91,60,64,3.87
237,Vila Franca Do Campo,PT,2022-03-09 09:02:29,37.7167,-25.4333,12.23,83,37,1.83
238,Camana,PE,2022-03-09 09:02:30,-16.6228,-72.7111,22.18,89,100,2.49
239,Lerwick,GB,2022-03-09 09:02:30,60.1545,-1.1494,8.0,86,97,16.19
240,Plettenberg Bay,ZA,2022-03-09 09:02:31,-34.0527,23.3716,27.17,57,0,2.66
241,Fortuna,US,2022-03-09 09:02:31,40.5982,-124.1573,3.99,93,15,1.42
